entity_id,sku,small_image
374653,"UP47A-BLACK LACE EDGE",/U/P/UP47A-BLACK_LACE_EDGE_1.jpeg
374651,"UP47A-BROWN LACE EDGE",/U/P/UP47A-BROWN_LACE_EDGE_1.jpeg
374649,"UP47A-WHITE LACE EDGE",/U/P/UP47A-WHITE_LACE_EDGE_1.jpg
374647,"F5590A-PEACOCK BLUE",/F/5/F5590A-PEACOCK_BLUE_1.jpeg
374642,23102-WHITE,/2/3/23102-WHITE_1.jpeg
374638,23125-BLACK,/2/3/23125-BLACK_1.jpeg
374634,23125-WHITE,/2/3/23125-WHITE_1_1.jpeg
374626,23135-WHITE,/2/3/23135-WHITE_1.jpeg
374622,23106-BLUE,/2/3/23106-BLUE_1.jpeg
374618,23149-1-BLACK,/2/3/23149-1-BLACK_1.jpeg
374614,23149-1-WHITE,/1/_/1_20.jpeg
374610,"SR-014-BLUE STRIPES",/S/R/SR-014-BLUE_STRIPES_1.jpeg
374605,"SR-013-SKY BLUE",/S/R/SR-013-SKY_BLUE_1.jpeg
374601,SR-012-BLUE,/s/r/sr-012-blue_1_.jpg
374597,SR-012-GREY,/s/r/sr-012-grey_1_.jpg
374593,SR-012-RED,/S/R/SR-012-RED_1.jpeg
374589,"SR-012-DARK BROWN",/s/r/sr-012-dark_brown_1_.jpg
374585,SR-012-PINK,/s/r/sr-012-pink_1_.jpg
374581,SR-012-WHITE,/S/R/SR-012-WHITE_1.jpeg
374577,SR-012-BLACK,/s/r/sr-012-black_1_.jpeg
374573,SR-009-PRINT,/S/R/SR-009-PRINT_1.jpeg
374569,SR-001-APRICOT,/S/R/SR-001-APRICOT_1.jpeg
374564,"SR-001-SKY BLUE",/S/R/SR-001-SKY_BLUE_1.jpeg
374559,HGWGT05962-BLACK,/H/G/HGWGT05962-BLACK_1.jpeg
374555,HGWGT05962-KHAKI,/H/G/HGWGT05962-KHAKI_1.jpeg
374551,"FDC0488-NAVY BLUE",/F/D/FDC0488-NAVY_BLUE_1.jpeg
374547,VS70A-BLACK,/V/S/VS70A-BLACK_1.jpeg
374543,AL739017576207-PINK,/A/L/AL739017576207-PINK_1.jpeg
374539,"AL739017576207-LIGHT GREY",/A/L/AL739017576207-LIGHT_GREY_1.jpeg
374535,AL739017576207-WHITE,/A/L/AL739017576207-WHITE_1.jpeg
374530,AL739017576207-CAMEL,/A/L/AL739017576207-CAMEL_1.jpeg
374526,23059-PINK,/2/3/23059-PINK_1.jpeg
374522,23059-BLACK,/2/3/23059-BLACK_1.jpeg
374518,23059-WHITE,/2/3/23059-WHITE_1.jpeg
374514,23014-BLACK,/2/3/23014-BLACK_1.jpeg
374510,23001-1-IVORY,/2/3/23001-1-IVORY_1.jpeg
374506,23001-1-SKIN,/2/3/23001-1-SKIN_1.jpeg
374502,23001-1-AZURE,/2/3/23001-1-AZURE_1.jpeg
374498,23001-1-CHAMPAGNE,/2/3/23001-1-CHAMPAGNE_11718801752.jpeg
374494,"23001-1-BEAN PASTE",/2/3/23001-1-BEAN_PASTE_1.jpeg
374490,23001-1-PURPLE,/2/3/23001-1-PURPLE_1_1.jpeg
374482,"23001-1-LIGHT PURPLE",/2/3/23001-1-LIGHT_PURPLE_1.jpeg
374478,"23001-1-ROSE RED",/2/3/23001-1-ROSE_RED_1.jpeg
374474,"23001-1-LIGHT BLUE",/2/3/23001-1-LIGHT_BLUE_1.jpeg
374470,23001-1-BLACK,/2/3/23001-1-BLACK_1.jpeg
374466,23001-1-WHITE,/2/3/23001-1-WHITE_1.jpeg
374462,23051-1-PINK,/2/3/23051-1-PINK_1.jpeg
374458,"23051-1-DEEP RED",/2/3/23051-1-DEEP_RED_1.jpeg
374454,"23084-LIGHT BLUE",/2/3/23084-LIGHT_BLUE_1.jpeg
374450,23098-WHITE,/2/3/23098-WHITE_1.jpeg
374444,"23050-LIGHT BLUE",/2/3/23050-LIGHT_BLUE_2.jpeg
374440,SR-008-GREEN,/S/R/SR-008-GREEN_1.jpeg
374436,SR-016-FLORAL,/S/R/SR-016-FLORAL_1.jpeg
374432,SR-015-KHAKI,/S/R/SR-015-KHAKI_1.jpeg
374426,SR-011-PINK,/S/R/SR-011-PINK_1.jpeg
374422,"SR-011-TIE DYE",/S/R/SR-011-TIE_DYE_1.jpeg
374418,SR-011-BLUE,/S/R/SR-011-BLUE_1.jpeg
374414,SR-011-BLACK,/S/R/SR-011-BLACK_1.jpeg
374410,SR-010-FLORAL,/S/R/SR-010-FLORAL_1.jpeg
374406,"SR-007-SKY BLUE",/S/R/SR-007-SKY_BLUE_1.jpeg
374402,SR-006-WHITE,/S/R/SR-006-WHITE_1.jpeg
374398,SR-006-GREEN,/S/R/SR-006-GREEN_1.jpeg
374394,SR-006-BLACK,/S/R/SR-006-BLACK_1.jpeg
374390,"SR-004-DARK GREY",/S/R/SR-004-DARK_GREY_1.jpeg
374386,SR-002-PINK,/S/R/SR-002-PINK_1.jpeg
374381,"SR-002-SKY BLUE",/S/R/SR-002-SKY_BLUE_1.jpeg
374376,SR-002-BLACK,/S/R/SR-002-BLACK_1.jpeg
374371,HGMHP27821-BLACK,/H/G/HGMHP27821-BLACK_1.jpeg
374367,HGWLT23658-BLUE,/H/G/HGWLT23658-BLUE_1.jpeg
