image_index,resolution1,resolution2,similarity
20,83x110,500x500,0.75
20,83x110,1000x1000,0.75
20,83x110,920x1300,0.875
20,128x128,83x110,0.71875
20,128x128,128x128,1.0
20,128x128,355x503,0.625
20,128x128,500x500,0.96875
20,128x128,1000x1000,0.96875
20,128x128,920x1300,0.625
20,355x503,83x110,0.875
20,355x503,128x128,0.625
20,355x503,355x503,1.0
20,355x503,500x500,0.65625
20,355x503,1000x1000,0.65625
20,355x503,920x1300,0.96875
20,500x500,83x110,0.75
20,500x500,128x128,0.96875
20,500x500,355x503,0.65625
20,500x500,500x500,1.0
20,500x500,1000x1000,1.0
20,500x500,920x1300,0.65625
20,1000x1000,83x110,0.75
20,1000x1000,128x128,0.96875
20,1000x1000,355x503,0.65625
20,1000x1000,500x500,1.0
20,1000x1000,1000x1000,1.0
20,1000x1000,920x1300,0.65625
20,920x1300,83x110,0.875
20,920x1300,128x128,0.625
20,920x1300,355x503,0.96875
20,920x1300,500x500,0.65625
20,920x1300,1000x1000,0.65625
20,920x1300,920x1300,1.0
21,83x110,83x110,1.0
21,83x110,128x128,0.5625
21,83x110,355x503,0.9375
21,83x110,500x500,0.5625
21,83x110,1000x1000,0.5625
21,83x110,920x1300,0.9375
21,128x128,83x110,0.5625
21,128x128,128x128,1.0
21,128x128,355x503,0.53125
21,128x128,500x500,0.96875
21,128x128,1000x1000,0.96875
21,128x128,920x1300,0.53125
21,355x503,83x110,0.9375
21,355x503,128x128,0.53125
21,355x503,355x503,1.0
21,355x503,500x500,0.53125
21,355x503,1000x1000,0.53125
21,355x503,920x1300,1.0
21,500x500,83x110,0.5625
21,500x500,128x128,0.96875
21,500x500,355x503,0.53125
21,500x500,500x500,1.0
21,500x500,1000x1000,1.0
21,500x500,920x1300,0.53125
21,1000x1000,83x110,0.5625
21,1000x1000,128x128,0.96875
21,1000x1000,355x503,0.53125
21,1000x1000,500x500,1.0
21,1000x1000,1000x1000,1.0
21,1000x1000,920x1300,0.53125
21,920x1300,83x110,0.9375
21,920x1300,128x128,0.53125
21,920x1300,355x503,1.0
21,920x1300,500x500,0.53125
21,920x1300,1000x1000,0.53125
21,920x1300,920x1300,1.0
22,83x110,83x110,1.0
22,83x110,128x128,0.625
22,83x110,355x503,0.90625
22,83x110,500x500,0.65625
22,83x110,1000x1000,0.65625
22,83x110,920x1300,0.9375
22,128x128,83x110,0.625
22,128x128,128x128,1.0
22,128x128,355x503,0.65625
22,128x128,500x500,0.96875
22,128x128,1000x1000,0.96875
22,128x128,920x1300,0.65625
22,355x503,83x110,0.90625
22,355x503,128x128,0.65625
22,355x503,355x503,1.0
22,355x503,500x500,0.6875
22,355x503,1000x1000,0.6875
22,355x503,920x1300,0.96875
22,500x500,83x110,0.65625
22,500x500,128x128,0.96875
22,500x500,355x503,0.6875
22,500x500,500x500,1.0
22,500x500,1000x1000,1.0
22,500x500,920x1300,0.6875
22,1000x1000,83x110,0.65625
22,1000x1000,128x128,0.96875
22,1000x1000,355x503,0.6875
22,1000x1000,500x500,1.0
22,1000x1000,1000x1000,1.0
22,1000x1000,920x1300,0.6875
22,920x1300,83x110,0.9375
22,920x1300,128x128,0.65625
22,920x1300,355x503,0.96875
22,920x1300,500x500,0.6875
22,920x1300,1000x1000,0.6875
22,920x1300,920x1300,1.0
23,83x110,83x110,1.0
23,83x110,128x128,0.65625
23,83x110,355x503,0.84375
23,83x110,500x500,0.65625
23,83x110,1000x1000,0.6875
23,83x110,920x1300,0.875
23,128x128,83x110,0.65625
23,128x128,128x128,1.0
23,128x128,355x503,0.625
23,128x128,500x500,1.0
23,128x128,1000x1000,0.96875
23,128x128,920x1300,0.65625
23,355x503,83x110,0.84375
23,355x503,128x128,0.625
23,355x503,355x503,1.0
23,355x503,500x500,0.625
23,355x503,1000x1000,0.625
23,355x503,920x1300,0.96875
23,500x500,83x110,0.65625
23,500x500,128x128,1.0
23,500x500,355x503,0.625
23,500x500,500x500,1.0
23,500x500,1000x1000,0.96875
23,500x500,920x1300,0.65625
23,1000x1000,83x110,0.6875
23,1000x1000,128x128,0.96875
23,1000x1000,355x503,0.625
23,1000x1000,500x500,0.96875
23,1000x1000,1000x1000,1.0
23,1000x1000,920x1300,0.65625
23,920x1300,83x110,0.875
23,920x1300,128x128,0.65625
23,920x1300,355x503,0.96875
23,920x1300,500x500,0.65625
23,920x1300,1000x1000,0.65625
23,920x1300,920x1300,1.0
24,83x110,83x110,1.0
24,83x110,128x128,0.5625
24,83x110,355x503,0.96875
24,83x110,500x500,0.5625
24,83x110,1000x1000,0.5625
24,83x110,920x1300,0.96875
24,128x128,83x110,0.5625
24,128x128,128x128,1.0
24,128x128,355x503,0.59375
24,128x128,500x500,1.0
24,128x128,1000x1000,1.0
24,128x128,920x1300,0.5625
24,355x503,83x110,0.96875
24,355x503,128x128,0.59375
24,355x503,355x503,1.0
24,355x503,500x500,0.59375
24,355x503,1000x1000,0.59375
24,355x503,920x1300,0.96875
24,500x500,83x110,0.5625
24,500x500,128x128,1.0
24,500x500,355x503,0.59375
24,500x500,500x500,1.0
24,500x500,1000x1000,1.0
24,500x500,920x1300,0.5625
24,1000x1000,83x110,0.5625
24,1000x1000,128x128,1.0
24,1000x1000,355x503,0.59375
24,1000x1000,500x500,1.0
24,1000x1000,1000x1000,1.0
